CREDORA;DEVEDORA;CICLO REFERÊNCIA;PERÍODO DE TRÁFEGO;POI;TIPO RELATÓRIO;REMUNERACAO;DESCRITOR;GH;CHAMADAS;DURAÇÃO;TARIFA;VALOR LÍQUIDO;PIS/COFINS;VALOR ICMS;TOTAL(R$);TOTAL_REAL (R$);OPERATION TYPE;EOT
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TLENI;N;455;1761,6;0,01275;22,47;0,85;0;23,32;;F;232
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;N;37211;125137,4;0,00608;760,84;28,82;0;789,66;;F;094
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;R;55;201,3;0,00423;0,85;0,03;0;0,88;;F;081
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;R;245;878,4;0,00423;3,71;0,14;0;3,85;;F;232
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TLENI;N;1;6;0,01275;0,08;0;0;0,08;;M;903
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TNENI;N;1826;1694,5;0,01275;21,61;0,81;0;22,42;;F;047
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;R;18268;63867,3;0,00423;270,16;10,23;0;280,39;;F;084
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;N;15810;25063,6;0,00608;152,38;5,76;0;158,14;;F;247
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TLENI;N;87977;425832,6;0,01275;5429,37;205,68;0;5635,05;;F;086
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TLENI;N;39224;131442,5;0,01275;1675,89;63,48;0;1739,37;;F;093
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-M;TNENV;N;2;2,8;0,01499;0,04;0;0;0,04;;M;901
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TNENI;N;286;298,7;0,01275;3,8;0,14;0;3,94;;F;091
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;N;2328;7464,1;0,00605;45,16;1,71;0;46,87;;F;031
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-M;TLENV;N;10;23,4;0,01499;0,35;0,01;0;0,36;;M;F02
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;N;28424;64468;0,00605;390,04;14,79;0;404,83;;F;085
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;N;6955;6352,4;0,00605;38,44;1,44;0;39,88;;F;092
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TLENI;N;7;4,8;0,01275;0,06;0;0;0,06;;M;J24
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;R;83;107,4;0,00425;0,46;0,02;0;0,48;;F;251
