Credora;Devedora;Referencia;Trafego;POI;Rel;DESC;GH;Chamadas;Minutos;Tarifa;R$_Liq;PIS_Cofins;ICMS;R$_Bruto;CN_RELACIONAMENTO;CBS;IBS_Municipal;IBS_Estadual;EOT_Ponta;Corredor
431;200;202603;202602;4OIF101O;00;NSNL;R;000000000012;000000000016,1;0,00421;0000000000000,07;0000000000000,00;0000000000000,00;0000000000000,07;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;431
431;200;202603;202602;4OIF101O;00;NSNL;R;000000000012;000000000029,9;0,00425;0000000000000,13;0000000000000,00;0000000000000,00;0000000000000,13;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;431
432;200;202603;202602;4OIF099O;00;NSNL;N;000000000001;000000000000,5;0,00602;0000000000000,00;0000000000000,00;0000000000000,00;0000000000000,00;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;432
674;200;202603;202602;1FHICTFB;00;NSNL;N;000000031826;000000131484,2;0,00602;0000000000791,53;0000000000029,99;0000000000000,00;0000000000821,52;;0000000000007,12;0000000000000,00;0000000000000,00;000000000000079;674
674;200;202603;202602;1FHICTFB;00;NSNL;N;000000005847;000000026987,4;0,00608;0000000000164,08;0000000000006,22;0000000000000,00;0000000000170,30;;0000000000001,48;0000000000000,00;0000000000000,00;000000000000016;674
674;200;202603;202602;1FHICTFB;00;NSNL;R;000000000844;000000002667,4;0,00421;0000000000011,23;0000000000000,43;0000000000000,00;0000000000011,66;;0000000000000,10;0000000000000,00;0000000000000,00;000000000000001;674
674;200;202603;202602;1FHICTFB;00;NSNL;R;000000000109;000000000423,7;0,00425;0000000000001,80;0000000000000,07;0000000000000,00;0000000000001,87;;0000000000000,02;0000000000000,00;0000000000000,00;000000000000000;674
025;200;202603;202603;6XBCTC6B;00;NSNI;D;000000000929;000000002776,2;0,00671;0000000000018,63;0000000000000,71;0000000000000,00;0000000000019,34;;0000000000000,17;0000000000000,00;0000000000000,00;000000000000002;025
025;200;202603;202603;6XBCTC6B;00;NSNI;D;000000002185;000000008586,6;0,00671;0000000000057,62;0000000000002,18;0000000000000,00;0000000000059,80;;0000000000000,52;0000000000000,00;0000000000000,00;000000000000006;143
025;200;202603;202603;6XBCTC6B;00;NSNI;N;000000000426;000000001496,1;0,00671;0000000000010,04;0000000000000,38;0000000000000,00;0000000000010,42;;0000000000000,09;0000000000000,00;0000000000000,00;000000000000001;025
025;200;202603;202603;6XBCTC6B;00;NSNI;N;000000000751;000000002498,3;0,00671;0000000000016,76;0000000000000,64;0000000000000,00;0000000000017,40;;0000000000000,15;0000000000000,00;0000000000000,00;000000000000002;143
025;200;202603;202603;6XBCTC6B;00;NSNI;R;000000000105;000000000752,6;0,00671;0000000000005,05;0000000000000,19;0000000000000,00;0000000000005,24;;0000000000000,05;0000000000000,00;0000000000000,00;000000000000001;025
025;200;202603;202603;6XBCTC6B;00;NSNI;R;000000000046;000000000069,4;0,00671;0000000000000,47;0000000000000,02;0000000000000,00;0000000000000,49;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;143
025;200;202603;202603;6XBCTC6B;00;NSNI;S;000000000004;000000000049,9;0,00671;0000000000000,33;0000000000000,01;0000000000000,00;0000000000000,34;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;200;202603;202603;6XBCTC6B;00;NSNI;S;000000000003;000000000002,2;0,00671;0000000000000,01;0000000000000,00;0000000000000,00;0000000000000,01;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;143
025;200;202603;202603;6XBCTC6B;00;NSNL;N;000000001348;000000004390,5;0,00631;0000000000027,70;0000000000001,05;0000000000000,00;0000000000028,75;;0000000000000,25;0000000000000,00;0000000000000,00;000000000000003;025
025;200;202603;202603;6XBCTC6B;00;NSNL;R;000000000095;000000000684,3;0,00441;0000000000003,02;0000000000000,11;0000000000000,00;0000000000003,13;;0000000000000,03;0000000000000,00;0000000000000,00;000000000000000;025
