CREDORA;DEVEDORA;REFERENCIA;PERIODO_TRAFEGO;POI;TIPO_RELATORIO;DESCRITOR;GRUPO_HORARIO;CHAMADAS;MINUTOS;TARIFA;VALOR_LIQUIDO;VALOR_PIS_COFINS;VALOR_ICMS;VALOR_TOTAL;VALOR_TOTAL_REAL;OPERATOR_TYPE;EOT_CREDORA
012;010;202607;202607;FACX_5060;00;1LENI;S;918;1890,5;0,00787;14,88;0,56;0,00;15,44;0,00;M;143
012;010;202607;202607;FACX_5060;00;1LENI;S;396;974,6;0,00787;7,67;0,29;0,00;7,96;0,00;M;325
012;010;202607;202607;FACX_5061;00;1LENI;D;26;106,4;0,00787;0,84;0,03;0,00;0,87;0,00;M;025
012;010;202607;202607;FACX_5061;00;1LENI;D;26;70,8;0,00787;0,56;0,02;0,00;0,58;0,00;M;143
012;010;202607;202607;FACX_5061;00;1LENI;N;18;69,0;0,00787;0,54;0,02;0,00;0,56;0,00;M;025
012;010;202607;202607;FACX_5061;00;1LENI;N;19;24,7;0,00787;0,19;0,01;0,00;0,20;0,00;M;143
012;010;202607;202607;FACX_5061;00;1LENI;R;4;3,9;0,00787;0,03;0,00;0,00;0,03;0,00;M;143
012;010;202607;202607;FACX_5064;00;1LENI;D;129;235,7;0,00787;1,85;0,07;0,00;1,92;0,00;M;025
012;010;202607;202607;FACX_5064;00;1LENI;N;92;208,3;0,00787;1,64;0,06;0,00;1,70;0,00;M;025
012;010;202607;202607;FACX_5064;00;1LENI;R;16;58,3;0,00787;0,46;0,02;0,00;0,48;0,00;M;025
012;010;202607;202607;FACX_5064;00;1LENI;S;1;0,7;0,00787;0,01;0,00;0,00;0,01;0,00;M;025
012;010;202607;202607;FACX_5065;00;1LENI;D;2;1,7;0,00787;0,01;0,00;0,00;0,01;0,00;M;143
012;010;202607;202607;FACX_5101;00;1LENI;D;431;951,6;0,00787;7,49;0,28;0,00;7,77;0,00;M;143
012;010;202607;202607;FACX_5101;00;1LENI;N;420;913,5;0,00787;7,19;0,27;0,00;7,46;0,00;M;143
012;010;202607;202607;FACX_5101;00;1LENI;R;323;659,3;0,00787;5,19;0,20;0,00;5,39;0,00;M;143
012;010;202607;202607;FACX_5101;00;1LENI;S;98;204,0;0,00787;1,61;0,06;0,00;1,67;0,00;M;143
012;010;202607;202607;FACX_5107;00;1LENI;D;3;3,1;0,00787;0,02;0,00;0,00;0,02;0,00;M;011
012;010;202607;202607;FACX_5107;00;1LENI;D;252;540,4;0,00787;4,25;0,16;0,00;4,41;0,00;M;025
012;010;202607;202607;FACX_5107;00;1LENI;D;82783;256568,7;0,00787;2019,20;76,49;0,00;2095,69;0,00;M;143
012;010;202607;202607;FACX_5107;00;1LENI;D;4;56,3;0,00787;0,44;0,02;0,00;0,46;0,00;M;203
012;010;202607;202607;FACX_5107;00;1LENI;D;3;16,6;0,00787;0,13;0,00;0,00;0,13;0,00;M;212
012;010;202607;202607;FACX_5107;00;1LENI;D;1;5,8;0,00787;0,05;0,00;0,00;0,05;0,00;M;225
012;010;202607;202607;FACX_5107;00;1LENI;N;240;474,2;0,00787;3,73;0,14;0,00;3,87;0,00;M;025
