2026-08-17 17:21:21.705 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/GERACAO_DETRAF_SMS_ITF -> Vivo: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.706 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/GERACAO_DETRAF_VIVO -> Vivo: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.706 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/GERACAO_DETRAF_TELEFONICA -> TLF: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.706 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/MVNO/NEXTEL/DESMP -> MVNO: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.706 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/GERACAO_DETRAF_TRP -> Detraf TRP: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.706 | WARNING |test_captacao_expectativa:test_a_sessao_e_fechada_mesmo_sem_nada_para_baixar:232 - [Expectativa] Nenhum arquivo _D de 202603 foi trazido. A validação vai seguir com o que já estiver na pasta — confira se o período está certo antes de tratar como defeito.
2026-08-17 17:21:21.711 | INFO    |test_captacao_expectativa:test_nada_encontrado_avisa_sem_falhar:241 - [Expectativa] Procurando os arquivos _D de 202603 em 5 pasta(s) de origem.
2026-08-17 17:21:21.711 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/GERACAO_DETRAF_SMS_ITF -> Vivo: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.712 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/GERACAO_DETRAF_VIVO -> Vivo: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.712 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/GERACAO_DETRAF_TELEFONICA -> TLF: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.712 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/MVNO/NEXTEL/DESMP -> MVNO: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.712 | INFO    |src.services.captacao_expectativa:executar:199 - [Expectativa] /interfaces/GERACAO_DETRAF_TRP -> Detraf TRP: 0 de 0 arquivo(s) casam com o filtro.
2026-08-17 17:21:21.713 | WARNING |test_captacao_expectativa:test_nada_encontrado_avisa_sem_falhar:241 - [Expectativa] Nenhum arquivo _D de 202603 foi trazido. A validação vai seguir com o que já estiver na pasta — confira se o período está certo antes de tratar como defeito.
